epoch,c1_acc,c1_loss,c2_acc,c2_loss,c3_acc,c3_loss,c4_acc,c4_loss,loss,val_c1_acc,val_c1_loss,val_c2_acc,val_c2_loss,val_c3_acc,val_c3_loss,val_c4_acc,val_c4_loss,val_loss
0,0.998875,0.006900664059590781,0.992,0.03198204283075756,0.986625,0.05332796128556947,0.996875,0.01569781813497684,0.10790848623286001,0.99875,0.00417686737535405,0.99125,0.03586839339346625,0.99375,0.0332593391276896,0.99875,0.008950544061808613,0.0822551437607035
1,0.999125,0.004217264334503853,0.993875,0.026070782746668554,0.98975,0.03611567981605185,0.998125,0.0103144709112712,0.07671819772291928,0.9975,0.0057992142796138065,0.99125,0.025058123651106143,0.99625,0.02583239135798067,0.9975,0.016318834304693153,0.07300856474554167
2,0.999125,0.0045508225295052395,0.99375,0.024389491092442768,0.989875,0.04126043294880947,0.997375,0.012037603994562232,0.0822383505050093,0.99875,0.00750552802310267,0.99875,0.012168187754650717,0.98625,0.038372942467685786,1.0,0.0037705490625376116,0.06181720719207078
3,0.998875,0.006012408000453434,0.99525,0.01911634773169135,0.9935,0.027540661739272766,0.998125,0.008152671560421368,0.06082208913797513,0.99875,0.0024706741964473622,0.99875,0.007719168102485127,0.99625,0.013178153313638176,1.0,0.002796612499987532,0.026164608232211322
4,0.999,0.0054474415250533635,0.997,0.01654871239095519,0.992,0.028304822258796776,0.998,0.009495235134980249,0.05979621143644909,1.0,0.0018582059747859602,0.99375,0.01997575164634327,0.995,0.017984949819219765,0.99875,0.0032319406858005097,0.04305084852967411
5,0.9995,0.002680657443161181,0.994875,0.017121811122786313,0.992,0.02783716050948715,0.997625,0.009046341962575753,0.05668597123201471,1.0,0.002600010141104576,0.99625,0.015694442784588317,0.98625,0.057918620104901494,0.99625,0.018725401306110143,0.09493847309029661
6,0.999625,0.0029842459774754387,0.996125,0.014503714222180861,0.99475,0.02210791994810279,0.99875,0.007844981563690453,0.04744086163782049,1.0,0.001271567530784523,0.99625,0.012145445535643375,0.99375,0.02649671921521076,0.99875,0.00864079070626758,0.048554522456834094
